xbox ,ybox ,width ,height,onpix ,xbar ,ybar ,x2bar,y2bar ,xybar ,x2ybar,xy2bar,xedge ,xedgey,yedge ,yedgex,CUM_MEAN(height),CUM_MEAN(onpix ),CUM_MEAN(width ),CUM_MEAN(x2bar),CUM_MEAN(x2ybar),CUM_MEAN(xbar ),CUM_MEAN(xbox ),CUM_MEAN(xedge ),CUM_MEAN(xedgey),CUM_MEAN(xy2bar),CUM_MEAN(xybar ),CUM_MEAN(y2bar ),CUM_MEAN(ybar ),CUM_MEAN(ybox ),CUM_MEAN(yedge ),CUM_MEAN(yedgex),CUM_SUM(height),height * x2bar,height * x2ybar,height * xbar ,height * xedge ,height * xedgey,height * xy2bar,height * xybar ,height * y2bar ,height * ybar ,height * yedge ,height * yedgex,onpix  * x2bar,onpix  * x2ybar,onpix  * xedge ,onpix  * xybar ,onpix  * y2bar ,onpix  * yedge ,onpix  * yedgex,width  * x2bar,width  * x2ybar,width  * xbar ,width  * xedgey,width  * xy2bar,width  * xybar ,width  * y2bar ,width  * ybar ,width  * yedgex,x2bar * x2ybar,x2bar * xbar ,x2bar * xedge ,x2bar * xy2bar,x2bar * xybar ,x2bar * y2bar ,x2bar * ybar ,x2bar * yedge ,x2ybar * xbar ,x2ybar * xedge ,x2ybar * xy2bar,x2ybar * xybar ,x2ybar * y2bar ,x2ybar * ybar ,x2ybar * ybox ,x2ybar * yedgex,xbar  * xbox ,xbar  * xedgey,xbar  * xy2bar,xbar  * xybar ,xbar  * y2bar ,xbar  * ybar ,xbar  * ybox ,xbar  * yedgex,xbox  * xy2bar,xbox  * xybar ,xbox  * ybar ,xbox  * yedgex,xedge  * y2bar ,xedge  * yedge ,xedgey * xy2bar,xedgey * xybar ,xedgey * yedgex,xy2bar * xybar ,xy2bar * y2bar ,xy2bar * ybar ,xy2bar * ybox ,xy2bar * yedgex,xybar  * y2bar ,xybar  * ybar ,xybar  * ybox ,xybar  * yedgex,y2bar  * ybar ,y2bar  * yedge ,y2bar  * yedgex,ybar  * ybox ,ybar  * yedgex,ybox  * yedgex
4,9,6,7,6,7,8,6,2,6,5,11,4,8,7,8,5.769230769230769,3.3846153846153846,5.076923076923077,4.153846153846154,4.769230769230769,8.384615384615385,4.230769230769231,2.6923076923076925,7.230769230769231,8.307692307692308,8.0,5.076923076923077,6.615384615384615,8.076923076923077,4.0,8.23076923076923,75.0,42.0,35.0,49.0,28.0,56.0,77.0,42.0,14.0,56.0,49.0,56.0,36.0,30.0,24.0,36.0,12.0,42.0,48.0,36.0,30.0,42.0,48.0,66.0,36.0,12.0,48.0,48.0,30.0,42.0,24.0,66.0,36.0,12.0,48.0,42.0,35.0,20.0,55.0,30.0,10.0,40.0,45.0,40.0,28.0,56.0,77.0,42.0,14.0,56.0,63.0,56.0,44.0,24.0,32.0,32.0,8.0,28.0,88.0,48.0,64.0,66.0,22.0,88.0,99.0,88.0,12.0,48.0,54.0,48.0,16.0,14.0,16.0,72.0,64.0,72.0
6,9,8,6,9,7,8,6,5,7,5,8,8,9,8,6,5.785714285714286,3.7857142857142856,5.285714285714286,4.285714285714286,4.785714285714286,8.285714285714286,4.357142857142857,3.0714285714285716,7.357142857142857,8.285714285714286,7.928571428571429,5.071428571428571,6.714285714285714,8.142857142857142,4.285714285714286,8.071428571428571,81.0,36.0,30.0,42.0,48.0,54.0,48.0,42.0,30.0,48.0,48.0,36.0,54.0,45.0,72.0,63.0,45.0,72.0,54.0,48.0,40.0,56.0,72.0,64.0,56.0,40.0,64.0,48.0,30.0,42.0,48.0,48.0,42.0,30.0,48.0,48.0,35.0,40.0,40.0,35.0,25.0,40.0,45.0,30.0,42.0,63.0,56.0,49.0,35.0,56.0,63.0,42.0,48.0,42.0,48.0,36.0,40.0,64.0,72.0,63.0,54.0,56.0,40.0,64.0,72.0,48.0,35.0,56.0,63.0,42.0,40.0,40.0,30.0,72.0,48.0,54.0
5,9,5,7,6,6,11,7,3,7,3,9,2,7,5,11,5.866666666666666,3.933333333333333,5.266666666666667,4.466666666666667,4.666666666666667,8.133333333333333,4.4,3.0,7.333333333333333,8.333333333333334,7.866666666666666,4.933333333333334,7.0,8.2,4.333333333333333,8.266666666666667,88.0,49.0,21.0,42.0,14.0,49.0,63.0,49.0,21.0,77.0,35.0,77.0,42.0,18.0,12.0,42.0,18.0,30.0,66.0,35.0,15.0,30.0,35.0,45.0,35.0,15.0,55.0,55.0,21.0,42.0,14.0,63.0,49.0,21.0,77.0,35.0,18.0,6.0,27.0,21.0,9.0,33.0,27.0,33.0,30.0,42.0,54.0,42.0,18.0,66.0,54.0,66.0,45.0,35.0,55.0,55.0,6.0,10.0,63.0,49.0,77.0,63.0,27.0,99.0,81.0,99.0,21.0,77.0,63.0,77.0,33.0,15.0,33.0,99.0,121.0,99.0
6,9,5,4,3,10,6,3,5,10,5,7,3,9,6,9,5.75,3.875,5.25,4.375,4.6875,8.25,4.5,3.0,7.4375,8.25,8.0,4.9375,6.9375,8.25,4.4375,8.3125,92.0,12.0,20.0,40.0,12.0,36.0,28.0,40.0,20.0,24.0,24.0,36.0,9.0,15.0,9.0,30.0,15.0,18.0,27.0,15.0,25.0,50.0,45.0,35.0,50.0,25.0,30.0,45.0,15.0,30.0,9.0,21.0,30.0,15.0,18.0,18.0,50.0,15.0,35.0,50.0,25.0,30.0,45.0,45.0,60.0,90.0,70.0,100.0,50.0,60.0,90.0,90.0,42.0,60.0,36.0,54.0,15.0,18.0,63.0,90.0,81.0,70.0,35.0,42.0,63.0,63.0,50.0,60.0,90.0,90.0,30.0,30.0,45.0,54.0,54.0,81.0
3,4,4,3,2,8,7,7,5,7,6,8,2,8,3,8,5.588235294117647,3.764705882352941,5.176470588235294,4.529411764705882,4.764705882352941,8.235294117647058,4.411764705882353,2.9411764705882355,7.470588235294118,8.235294117647058,7.9411764705882355,4.9411764705882355,6.9411764705882355,8.0,4.352941176470588,8.294117647058824,95.0,21.0,18.0,24.0,6.0,24.0,24.0,21.0,15.0,21.0,9.0,24.0,14.0,12.0,4.0,14.0,10.0,6.0,16.0,28.0,24.0,32.0,32.0,32.0,28.0,20.0,28.0,32.0,42.0,56.0,14.0,56.0,49.0,35.0,49.0,21.0,48.0,12.0,48.0,42.0,30.0,42.0,24.0,48.0,24.0,64.0,64.0,56.0,40.0,56.0,32.0,64.0,24.0,21.0,21.0,24.0,10.0,6.0,64.0,56.0,64.0,56.0,40.0,56.0,32.0,64.0,35.0,49.0,28.0,56.0,35.0,15.0,40.0,28.0,56.0,32.0
7,10,5,5,2,6,8,6,8,11,7,11,2,8,5,9,5.555555555555555,3.6666666666666665,5.166666666666667,4.611111111111111,4.888888888888889,8.11111111111111,4.555555555555555,2.888888888888889,7.5,8.38888888888889,8.11111111111111,5.111111111111111,7.0,8.11111111111111,4.388888888888889,8.333333333333334,100.0,30.0,35.0,30.0,10.0,40.0,55.0,55.0,40.0,40.0,25.0,45.0,12.0,14.0,4.0,22.0,16.0,10.0,18.0,30.0,35.0,30.0,40.0,55.0,55.0,40.0,40.0,45.0,42.0,36.0,12.0,66.0,66.0,48.0,48.0,30.0,42.0,14.0,77.0,77.0,56.0,56.0,70.0,63.0,42.0,48.0,66.0,66.0,48.0,48.0,60.0,54.0,77.0,77.0,56.0,63.0,16.0,10.0,88.0,88.0,72.0,121.0,88.0,88.0,110.0,99.0,88.0,88.0,110.0,99.0,64.0,40.0,72.0,80.0,72.0,90.0
6,11,6,8,5,6,11,5,6,11,9,4,3,12,2,4,5.684210526315789,3.736842105263158,5.2105263157894735,4.631578947368421,5.105263157894737,8.0,4.631578947368421,2.8947368421052633,7.7368421052631575,8.157894736842104,8.263157894736842,5.157894736842105,7.2105263157894735,8.263157894736842,4.2631578947368425,8.105263157894736,108.0,40.0,72.0,48.0,24.0,96.0,32.0,88.0,48.0,88.0,16.0,32.0,25.0,45.0,15.0,55.0,30.0,10.0,20.0,30.0,54.0,36.0,72.0,24.0,66.0,36.0,66.0,24.0,45.0,30.0,15.0,20.0,55.0,30.0,55.0,10.0,54.0,27.0,36.0,99.0,54.0,99.0,99.0,36.0,36.0,72.0,24.0,66.0,36.0,66.0,66.0,24.0,24.0,66.0,66.0,24.0,18.0,6.0,48.0,132.0,48.0,44.0,24.0,44.0,44.0,16.0,66.0,121.0,121.0,44.0,66.0,12.0,24.0,121.0,44.0,44.0
2,2,3,3,1,10,6,3,6,12,4,9,0,7,1,7,5.55,3.6,5.1,4.55,5.05,8.1,4.5,2.75,7.7,8.2,8.45,5.2,7.15,7.95,4.1,8.05,111.0,9.0,12.0,30.0,0.0,21.0,27.0,36.0,18.0,18.0,3.0,21.0,3.0,4.0,0.0,12.0,6.0,1.0,7.0,9.0,12.0,30.0,21.0,27.0,36.0,18.0,18.0,21.0,12.0,30.0,0.0,27.0,36.0,18.0,18.0,3.0,40.0,0.0,36.0,48.0,24.0,24.0,8.0,28.0,20.0,70.0,90.0,120.0,60.0,60.0,20.0,70.0,18.0,24.0,12.0,14.0,0.0,0.0,63.0,84.0,49.0,108.0,54.0,54.0,18.0,63.0,72.0,72.0,24.0,84.0,36.0,6.0,42.0,12.0,42.0,14.0
1,3,2,2,1,8,8,2,5,14,5,8,0,7,0,7,5.380952380952381,3.4761904761904763,4.9523809523809526,4.428571428571429,5.0476190476190474,8.095238095238095,4.333333333333333,2.619047619047619,7.666666666666667,8.19047619047619,8.714285714285714,5.190476190476191,7.190476190476191,7.714285714285714,3.9047619047619047,8.0,113.0,4.0,10.0,16.0,0.0,14.0,16.0,28.0,10.0,16.0,0.0,14.0,2.0,5.0,0.0,14.0,5.0,0.0,7.0,4.0,10.0,16.0,14.0,16.0,28.0,10.0,16.0,14.0,10.0,16.0,0.0,16.0,28.0,10.0,16.0,0.0,40.0,0.0,40.0,70.0,25.0,40.0,15.0,35.0,8.0,56.0,64.0,112.0,40.0,64.0,24.0,56.0,8.0,14.0,8.0,7.0,0.0,0.0,56.0,98.0,49.0,112.0,40.0,64.0,24.0,56.0,70.0,112.0,42.0,98.0,40.0,0.0,35.0,24.0,56.0,21.0
4,5,5,4,4,7,7,6,6,7,6,8,3,8,3,8,5.318181818181818,3.5,4.954545454545454,4.5,5.090909090909091,8.045454545454545,4.318181818181818,2.6363636363636362,7.681818181818182,8.181818181818182,8.636363636363637,5.2272727272727275,7.181818181818182,7.590909090909091,3.8636363636363638,8.0,117.0,24.0,24.0,28.0,12.0,32.0,32.0,28.0,24.0,28.0,12.0,32.0,24.0,24.0,12.0,28.0,24.0,12.0,32.0,30.0,30.0,35.0,40.0,40.0,35.0,30.0,35.0,40.0,36.0,42.0,18.0,48.0,42.0,36.0,42.0,18.0,42.0,18.0,48.0,42.0,36.0,42.0,30.0,48.0,28.0,56.0,56.0,49.0,42.0,49.0,35.0,56.0,32.0,28.0,28.0,32.0,18.0,9.0,64.0,56.0,64.0,56.0,48.0,56.0,40.0,64.0,42.0,49.0,35.0,56.0,42.0,18.0,48.0,35.0,56.0,40.0
3,2,3,3,2,8,8,7,5,7,5,7,2,8,9,8,5.217391304347826,3.4347826086956523,4.869565217391305,4.608695652173913,5.086956521739131,8.043478260869565,4.260869565217392,2.608695652173913,7.695652173913044,8.130434782608695,8.565217391304348,5.217391304347826,7.217391304347826,7.3478260869565215,4.086956521739131,8.0,120.0,21.0,15.0,24.0,6.0,24.0,21.0,21.0,15.0,24.0,27.0,24.0,14.0,10.0,4.0,14.0,10.0,18.0,16.0,21.0,15.0,24.0,24.0,21.0,21.0,15.0,24.0,24.0,35.0,56.0,14.0,49.0,49.0,35.0,56.0,63.0,40.0,10.0,35.0,35.0,25.0,40.0,10.0,40.0,24.0,64.0,56.0,56.0,40.0,64.0,16.0,64.0,21.0,21.0,24.0,24.0,10.0,18.0,56.0,56.0,64.0,49.0,35.0,56.0,14.0,56.0,35.0,56.0,14.0,56.0,40.0,45.0,40.0,16.0,64.0,16.0
6,11,7,8,5,7,6,9,6,7,5,9,4,8,5,5,5.333333333333333,3.5,4.958333333333333,4.791666666666667,5.083333333333333,8.0,4.333333333333333,2.6666666666666665,7.708333333333333,8.166666666666666,8.5,5.25,7.166666666666667,7.5,4.125,7.875,128.0,72.0,40.0,56.0,32.0,64.0,72.0,56.0,48.0,48.0,40.0,40.0,45.0,25.0,20.0,35.0,30.0,25.0,25.0,63.0,35.0,49.0,56.0,63.0,49.0,42.0,42.0,35.0,45.0,63.0,36.0,81.0,63.0,54.0,54.0,45.0,35.0,20.0,45.0,35.0,30.0,30.0,55.0,25.0,42.0,56.0,63.0,49.0,42.0,42.0,77.0,35.0,54.0,42.0,36.0,30.0,24.0,20.0,72.0,56.0,40.0,63.0,54.0,54.0,99.0,45.0,42.0,42.0,77.0,35.0,36.0,30.0,30.0,66.0,30.0,55.0
3,6,4,4,2,6,6,4,4,14,8,12,1,6,1,6,5.28,3.44,4.92,4.76,5.2,7.92,4.28,2.6,7.64,8.32,8.72,5.2,7.12,7.44,4.0,7.8,132.0,16.0,32.0,24.0,4.0,24.0,48.0,56.0,16.0,24.0,4.0,24.0,8.0,16.0,2.0,28.0,8.0,2.0,12.0,16.0,32.0,24.0,24.0,48.0,56.0,16.0,24.0,24.0,32.0,24.0,4.0,48.0,56.0,16.0,24.0,4.0,48.0,8.0,96.0,112.0,32.0,48.0,48.0,48.0,18.0,36.0,72.0,84.0,24.0,36.0,36.0,36.0,36.0,42.0,18.0,18.0,4.0,1.0,72.0,84.0,36.0,168.0,48.0,72.0,72.0,72.0,56.0,84.0,84.0,84.0,24.0,4.0,24.0,36.0,36.0,36.0
6,11,7,8,3,7,8,7,11,4,7,14,1,7,4,8,5.384615384615385,3.423076923076923,5.0,4.846153846153846,5.269230769230769,7.884615384615385,4.346153846153846,2.5384615384615383,7.615384615384615,8.538461538461538,8.538461538461538,5.423076923076923,7.153846153846154,7.576923076923077,4.0,7.8076923076923075,140.0,56.0,56.0,56.0,8.0,56.0,112.0,32.0,88.0,64.0,32.0,64.0,21.0,21.0,3.0,12.0,33.0,12.0,24.0,49.0,49.0,49.0,49.0,98.0,28.0,77.0,56.0,56.0,49.0,49.0,7.0,98.0,28.0,77.0,56.0,28.0,49.0,7.0,98.0,28.0,77.0,56.0,77.0,56.0,42.0,49.0,98.0,28.0,77.0,56.0,77.0,56.0,84.0,24.0,48.0,48.0,11.0,4.0,98.0,28.0,56.0,56.0,154.0,112.0,154.0,112.0,44.0,32.0,44.0,32.0,88.0,44.0,88.0,88.0,64.0,88.0
7,11,11,8,9,3,8,4,5,10,11,10,10,9,5,7,5.481481481481482,3.6296296296296298,5.222222222222222,4.814814814814815,5.481481481481482,7.703703703703703,4.444444444444445,2.814814814814815,7.666666666666667,8.592592592592593,8.592592592592593,5.407407407407407,7.185185185185185,7.703703703703703,4.037037037037037,7.777777777777778,148.0,32.0,88.0,24.0,80.0,72.0,80.0,80.0,40.0,64.0,40.0,56.0,36.0,99.0,90.0,90.0,45.0,45.0,63.0,44.0,121.0,33.0,99.0,110.0,110.0,55.0,88.0,77.0,44.0,12.0,40.0,40.0,40.0,20.0,32.0,20.0,33.0,110.0,110.0,110.0,55.0,88.0,121.0,77.0,21.0,27.0,30.0,30.0,15.0,24.0,33.0,21.0,70.0,70.0,56.0,49.0,50.0,50.0,90.0,90.0,63.0,100.0,50.0,80.0,110.0,70.0,50.0,80.0,110.0,70.0,40.0,25.0,35.0,88.0,56.0,77.0
